x.X1,x.X2,x.X3,x.X4,x.X5,x.X6,x.X7,x.X8,x.X9,x.X10,x.X11,x.X12,x.X13,x.X14,x.X15,x.X16,x.X17,x.X18,x.X19,x.X20,y
"[6303;14876]","[1383;4741)","[1270;4075)","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[975;3838)","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[1063;3484)","[1026;2888)","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[759;4114)","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",n
"[1915;6303)","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[1088;4460)","[3484;9939]","[2888;5917]","[996;4139)","[975;3838)","[2831;8021]","[2303;4224]","[2503;8878]","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[2288;7498]","[2593;9255]",p
"[1915;6303)","[1383;4741)","[4075;8605]","[1186;3464)","[2699;8094]","[1088;4460)","[3484;9939]","[2888;5917]","[996;4139)","[975;3838)","[2831;8021]","[963;2303)","[886;2503)","[2917;7861]","[802;2713)","[4114;10695]","[746;2604)","[2163;4680]","[2288;7498]","[673;2593)",n
"[1915;6303)","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[4460;11223]","[1063;3484)","[2888;5917]","[996;4139)","[3838;12308]","[2831;8021]","[2303;4224]","[886;2503)","[855;2917)","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[717;2288)","[2593;9255]",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[1026;2888)","[996;4139)","[3838;12308]","[2831;8021]","[963;2303)","[886;2503)","[855;2917)","[2713;7191]","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[2593;9255]",n
"[6303;14876]","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[1088;4460)","[1063;3484)","[2888;5917]","[4139;14145]","[975;3838)","[2831;8021]","[2303;4224]","[886;2503)","[855;2917)","[2713;7191]","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[1088;4460)","[1063;3484)","[2888;5917]","[996;4139)","[975;3838)","[968;2831)","[2303;4224]","[2503;8878]","[855;2917)","[802;2713)","[4114;10695]","[746;2604)","[2163;4680]","[717;2288)","[673;2593)",n
"[1915;6303)","[1383;4741)","[1270;4075)","[3464;11249]","[1167;2699)","[1088;4460)","[1063;3484)","[2888;5917]","[4139;14145]","[975;3838)","[2831;8021]","[2303;4224]","[886;2503)","[855;2917)","[2713;7191]","[759;4114)","[2604;8876]","[2163;4680]","[717;2288)","[673;2593)",p
"[1915;6303)","[1383;4741)","[1270;4075)","[3464;11249]","[1167;2699)","[1088;4460)","[1063;3484)","[2888;5917]","[996;4139)","[975;3838)","[968;2831)","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[746;2604)","[2163;4680]","[717;2288)","[673;2593)",n
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[1167;2699)","[4460;11223]","[1063;3484)","[2888;5917]","[4139;14145]","[3838;12308]","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[4114;10695]","[2604;8876]","[2163;4680]","[717;2288)","[673;2593)",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[1167;2699)","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[968;2831)","[963;2303)","[2503;8878]","[855;2917)","[802;2713)","[4114;10695]","[746;2604)","[737;2163)","[2288;7498]","[2593;9255]",n
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[996;4139)","[975;3838)","[2831;8021]","[2303;4224]","[2503;8878]","[855;2917)","[2713;7191]","[759;4114)","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",n
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[886;2503)","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[3484;9939]","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[2593;9255]",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[3484;9939]","[1026;2888)","[4139;14145]","[975;3838)","[968;2831)","[963;2303)","[2503;8878]","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[1167;2699)","[4460;11223]","[3484;9939]","[1026;2888)","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[855;2917)","[2713;7191]","[4114;10695]","[2604;8876]","[737;2163)","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[1026;2888)","[4139;14145]","[3838;12308]","[968;2831)","[2303;4224]","[2503;8878]","[855;2917)","[2713;7191]","[4114;10695]","[746;2604)","[737;2163)","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[4139;14145]","[975;3838)","[968;2831)","[963;2303)","[2503;8878]","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[6303;14876]","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[1026;2888)","[4139;14145]","[975;3838)","[2831;8021]","[963;2303)","[886;2503)","[2917;7861]","[2713;7191]","[759;4114)","[2604;8876]","[737;2163)","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[673;2593)",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[2604;8876]","[2163;4680]","[717;2288)","[673;2593)",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[1088;4460)","[1063;3484)","[2888;5917]","[996;4139)","[975;3838)","[968;2831)","[2303;4224]","[886;2503)","[855;2917)","[2713;7191]","[759;4114)","[2604;8876]","[2163;4680]","[717;2288)","[673;2593)",p
"[1915;6303)","[4741;10152]","[4075;8605]","[3464;11249]","[1167;2699)","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[855;2917)","[2713;7191]","[4114;10695]","[746;2604)","[737;2163)","[2288;7498]","[2593;9255]",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[2699;8094]","[1088;4460)","[3484;9939]","[1026;2888)","[996;4139)","[975;3838)","[2831;8021]","[2303;4224]","[886;2503)","[855;2917)","[2713;7191]","[759;4114)","[2604;8876]","[737;2163)","[2288;7498]","[2593;9255]",p
"[1915;6303)","[4741;10152]","[4075;8605]","[1186;3464)","[1167;2699)","[4460;11223]","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[2503;8878]","[2917;7861]","[802;2713)","[4114;10695]","[2604;8876]","[737;2163)","[2288;7498]","[2593;9255]",n
"[6303;14876]","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[1026;2888)","[4139;14145]","[3838;12308]","[2831;8021]","[963;2303)","[886;2503)","[855;2917)","[2713;7191]","[759;4114)","[2604;8876]","[737;2163)","[2288;7498]","[2593;9255]",p
"[1915;6303)","[4741;10152]","[4075;8605]","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[3838;12308]","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[1915;6303)","[4741;10152]","[4075;8605]","[3464;11249]","[1167;2699)","[1088;4460)","[1063;3484)","[2888;5917]","[996;4139)","[975;3838)","[968;2831)","[2303;4224]","[886;2503)","[2917;7861]","[802;2713)","[4114;10695]","[746;2604)","[2163;4680]","[717;2288)","[673;2593)",n
"[6303;14876]","[1383;4741)","[1270;4075)","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[996;4139)","[3838;12308]","[968;2831)","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",n
"[6303;14876]","[1383;4741)","[1270;4075)","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[1383;4741)","[1270;4075)","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[996;4139)","[3838;12308]","[2831;8021]","[2303;4224]","[2503;8878]","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[3484;9939]","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[2503;8878]","[2917;7861]","[802;2713)","[4114;10695]","[746;2604)","[2163;4680]","[2288;7498]","[673;2593)",n
"[6303;14876]","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[2503;8878]","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[6303;14876]","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[968;2831)","[2303;4224]","[2503;8878]","[2917;7861]","[802;2713)","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",n
"[6303;14876]","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[1026;2888)","[4139;14145]","[3838;12308]","[968;2831)","[963;2303)","[886;2503)","[2917;7861]","[802;2713)","[4114;10695]","[2604;8876]","[737;2163)","[2288;7498]","[2593;9255]",n
"[6303;14876]","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[886;2503)","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[4460;11223]","[1063;3484)","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[886;2503)","[2917;7861]","[2713;7191]","[759;4114)","[2604;8876]","[2163;4680]","[717;2288)","[2593;9255]",p
"[1915;6303)","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[1088;4460)","[1063;3484)","[2888;5917]","[996;4139)","[3838;12308]","[2831;8021]","[2303;4224]","[886;2503)","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[717;2288)","[673;2593)",n
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",n
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[2917;7861]","[802;2713)","[759;4114)","[2604;8876]","[737;2163)","[717;2288)","[673;2593)",p
"[1915;6303)","[4741;10152]","[4075;8605]","[3464;11249]","[2699;8094]","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[3838;12308]","[2831;8021]","[963;2303)","[2503;8878]","[2917;7861]","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[6303;14876]","[4741;10152]","[4075;8605]","[1186;3464)","[2699;8094]","[4460;11223]","[3484;9939]","[2888;5917]","[4139;14145]","[3838;12308]","[2831;8021]","[2303;4224]","[886;2503)","[2917;7861]","[2713;7191]","[4114;10695]","[2604;8876]","[2163;4680]","[2288;7498]","[2593;9255]",p
"[6303;14876]","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[3484;9939]","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[2503;8878]","[855;2917)","[802;2713)","[4114;10695]","[746;2604)","[737;2163)","[2288;7498]","[673;2593)",n
"[1915;6303)","[1383;4741)","[1270;4075)","[1186;3464)","[1167;2699)","[1088;4460)","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[968;2831)","[963;2303)","[886;2503)","[855;2917)","[802;2713)","[759;4114)","[746;2604)","[737;2163)","[717;2288)","[673;2593)",p
"[6303;14876]","[1383;4741)","[1270;4075)","[3464;11249]","[1167;2699)","[4460;11223]","[1063;3484)","[1026;2888)","[996;4139)","[975;3838)","[2831;8021]","[963;2303)","[2503;8878]","[2917;7861]","[2713;7191]","[759;4114)","[2604;8876]","[737;2163)","[2288;7498]","[673;2593)",n
